#tail	head	edge_weight	edge_type
P30153	O75147	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	P28482	6.501250e-01	KEGG inhibition
P30153	P06493	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P30153	P17252	6.501250e-01	KEGG inhibition
P30153	Q9UHV2	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q96EI5	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	O14654	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q15796	7.500000e-01	MI:0018 (two hybrid)|SPIKE
P30153	Q13547	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	P62241	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	P67775	7.500000e-01	NetPath|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0404 (comigration in non denaturing gel electrophoresis)|MI:0018 (two hybrid)|MI:0114 (x-ray crystallography)|MI:0071 (molecular sieving)|MI:0401 (biochemical)|MI:0096 (pull down)|MI:1314 (proximity-dependent biotin identification)
P30153	P31751	7.500000e-01	KEGG inhibition|KEGG inhibition,dephosphorylation
P30153	Q9Y2S7	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	P10415	4.930890e-01	KEGG inhibition,dephosphorylation
P30153	P07900	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P30153	O43524	7.500000e-01	MI:0019 (coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P30153	Q12948	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P30153	Q13362	7.500000e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|KEGG group-entry|SPIKE|MI:0401 (biochemical)|MI:2222 (inference by socio-affinity scoring)|MI:0096 (pull down)|MI:1314 (proximity-dependent biotin identification)
P30153	P63244	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q16659	2.804190e-01	MI:0018 (two hybrid)
P30153	P03372	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P30153	Q13619	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	P05412	4.138850e-01	MI:0006 (anti bait coimmunoprecipitation)
P30153	P51449	2.804190e-01	MI:0018 (two hybrid)
P30153	P84022	7.500000e-01	MI:0018 (two hybrid)|SPIKE
P30153	O95376	7.500000e-01	MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
P30153	P39019	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q15717	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q9H0W5	3.111330e-01	MI:0004 (affinity chromatography technology)
P30153	Q96GD4	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P11021	P68366	2.014610e-01	MI:0401 (biochemical)
