======================================================================
  NEIGHBOR REPORT
======================================================================
  Protein            : P04637
  Total degree       : 2183
  In-degree          : 1076  (proteins pointing TO this node)
  Out-degree         : 1107 (proteins this node points TO)
======================================================================

OUTGOING (successors, 1107 proteins)
----------------------------------------------------------------------
  Neighbor                Confidence   Weight(1/conf)  Method
  P49368                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P63208                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P62081                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P17987                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  O75665                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q13105                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P14921                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P82650                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P78371                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P46777                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q99832                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q8TAF3                      0.7107           1.4070  MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P62328                      0.7035           1.4214  MI:0398 (two hybrid pooling approach)|SPIKE
  Q15486                      0.7035           1.4214  MI:0398 (two hybrid pooling approach)|SPIKE
  Q92985                      0.6795           1.4717  MI:0018 (two hybrid)|MI:0007 (anti tag coimmunoprecipitation)
  Q96S59                      0.6795           1.4717  MI:0018 (two hybrid)|MI:0007 (anti tag coimmunoprecipitation)
  Q6B0I6                      0.6413           1.5594  MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
  P46783                      0.6413           1.5594  MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
  Q49MG5                      0.6413           1.5594  MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
  O75182                      0.6413           1.5594  MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
  Q15714                      0.6413           1.5594  MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
  P46527                      0.6255           1.5987  KEGG activation
  Q96KQ7                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9UPU5                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q15139                      0.5688           1.7581  MI:0415 (enzymatic study)
  O95630                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9NQR1                      0.5688           1.7581  MI:0415 (enzymatic study)
  P49792                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q13572                      0.5688           1.7581  MI:0415 (enzymatic study)
  P12931                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9UK80                      0.5688           1.7581  MI:0415 (enzymatic study)
  P49720                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9UM11                      0.5688           1.7581  MI:0415 (enzymatic study)
  P61081                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9H9B1                      0.5688           1.7581  MI:0415 (enzymatic study)
  Q9NZN9                      0.5642           1.7725  MI:0676 (tandem affinity purification)|MI:2222 (inference by socio-affinity scoring)
  P16885                      0.5493           1.8204  MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)
  Q92759                      0.5372           1.8616  MI:0047 (far western blotting)
  Q9NXR7                      0.5365           1.8640  MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)
  P46736                      0.5365           1.8640  MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)
  Q99966                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q9H329                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  P54198                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q5TB30                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  P49450                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  P01137                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q9NYP9                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q15003                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q9NYF8                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q9BSJ6                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q96DN5                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  O43683                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q07973                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  O96020                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q16630                      0.5221           1.9154  MI:0402 (chromatin immunoprecipitation assay)
  Q9BQD7                      0.5065           1.9742  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)
  Q14695                      0.5065           1.9742  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)
  Q9HB09                      0.4923           2.0313  MI:0096 (pull down)
  P49336                      0.4923           2.0313  MI:0096 (pull down)
  P07355                      0.4923           2.0313  MI:0096 (pull down)
  O15391                      0.4923           2.0313  MI:0096 (pull down)
  Q969P6                      0.4923           2.0313  MI:0096 (pull down)
  P28360                      0.4923           2.0313  MI:0096 (pull down)
  O60481                      0.4923           2.0313  MI:0096 (pull down)
  O43422                      0.4923           2.0313  MI:0096 (pull down)
  O75164                      0.4923           2.0313  MI:0096 (pull down)
  Q9Y4B6                      0.4923           2.0313  MI:0096 (pull down)
  P60510                      0.4923           2.0313  MI:0096 (pull down)
  Q86X55                      0.4923           2.0313  MI:0096 (pull down)
  O43257                      0.4923           2.0313  MI:0096 (pull down)
  Q9BQG0                      0.4923           2.0313  MI:0096 (pull down)
  Q9Y6Q9                      0.4923           2.0313  MI:0096 (pull down)
  Q9ULC6                      0.4923           2.0313  MI:0096 (pull down)
  Q96AH0                      0.4923           2.0313  MI:0096 (pull down)
  O00255                      0.4923           2.0313  MI:0096 (pull down)
  Q8TAT5                      0.4923           2.0313  MI:0096 (pull down)
  Q13503                      0.4923           2.0313  MI:0096 (pull down)
  Q9UJW3                      0.4923           2.0313  MI:0096 (pull down)
  Q8WVJ9                      0.4923           2.0313  MI:0096 (pull down)
  P10599                      0.4923           2.0313  MI:0096 (pull down)
  O75150                      0.4923           2.0313  MI:0096 (pull down)
  P29320                      0.4923           2.0313  MI:0096 (pull down)
  P54278                      0.4739           2.1101  SPIKE
  Q8NFD5                      0.4739           2.1101  SPIKE
  Q14526                      0.4739           2.1101  SPIKE
  P08183                      0.4739           2.1101  SPIKE
  Q9Y261                      0.4739           2.1101  SPIKE
  Q9UM73                      0.4739           2.1101  SPIKE
  Q969G3                      0.4739           2.1101  SPIKE
  P46695                      0.4739           2.1101  SPIKE
  Q9Y675                      0.4739           2.1101  SPIKE
  Q12834                      0.4739           2.1101  SPIKE
  Q92466                      0.4739           2.1101  SPIKE
  P20800                      0.4739           2.1101  SPIKE
  O00767                      0.4739           2.1101  SPIKE
  Q9Y478                      0.4739           2.1101  SPIKE
  P28562                      0.4739           2.1101  SPIKE
  O15392                      0.4739           2.1101  SPIKE
  P08253                      0.4739           2.1101  SPIKE
  P21953                      0.4739           2.1101  SPIKE
  P15018                      0.4739           2.1101  SPIKE
  P78423                      0.4739           2.1101  SPIKE
  Q96CF2                      0.4739           2.1101  SPIKE
  Q9NQ88                      0.4739           2.1101  SPIKE
  Q13564                      0.4739           2.1101  SPIKE
  O94907                      0.4739           2.1101  SPIKE
  O14514                      0.4739           2.1101  SPIKE
  Q8N3C0                      0.4739           2.1101  SPIKE
  Q9NQW6                      0.4739           2.1101  SPIKE
  P26583                      0.4739           2.1101  SPIKE
  Q96QD8                      0.4739           2.1101  SPIKE
  Q9BZR8                      0.4739           2.1101  SPIKE
  O15297                      0.4739           2.1101  SPIKE
  Q9Y6P5                      0.4739           2.1101  SPIKE
  P48023                      0.4739           2.1101  SPIKE
  P17643                      0.4739           2.1101  SPIKE
  P51531                      0.4739           2.1101  SPIKE
  P27701                      0.4739           2.1101  SPIKE
  P39060                      0.4739           2.1101  SPIKE
  P08581                      0.4739           2.1101  SPIKE
  Q9NX09                      0.4739           2.1101  SPIKE
  Q68CP9                      0.4739           2.1101  SPIKE
  P49815                      0.4739           2.1101  SPIKE
  Q00597                      0.4739           2.1101  SPIKE
  O43474                      0.4739           2.1101  SPIKE
  P07203                      0.4739           2.1101  SPIKE
  Q71UM5                      0.4739           2.1101  SPIKE
  P29474                      0.4739           2.1101  SPIKE
  O94761                      0.4739           2.1101  SPIKE
  P40692                      0.4739           2.1101  SPIKE
  P01135                      0.4739           2.1101  SPIKE
  P36952                      0.4739           2.1101  SPIKE
  P00533                      0.4739           2.1101  SPIKE
  Q02363                      0.4739           2.1101  SPIKE
  P07339                      0.4739           2.1101  SPIKE
  Q9Y6D9                      0.4739           2.1101  SPIKE
  Q9H4X1                      0.4739           2.1101  SPIKE
  Q6AZY7                      0.4739           2.1101  SPIKE
  O60673                      0.4739           2.1101  SPIKE
  P30411                      0.4739           2.1101  SPIKE
  Q92851                      0.4739           2.1101  SPIKE
  P11926                      0.4739           2.1101  SPIKE
  O15492                      0.4739           2.1101  SPIKE
  O94805                      0.4739           2.1101  SPIKE
  Q13794                      0.4739           2.1101  SPIKE
  Q13489                      0.4739           2.1101  SPIKE
  Q9NY72                      0.4739           2.1101  SPIKE
  P52292                      0.4739           2.1101  SPIKE
  Q03518                      0.4739           2.1101  SPIKE
  P55957                      0.4739           2.1101  SPIKE
  Q16589                      0.4739           2.1101  SPIKE
  Q9UI32                      0.4739           2.1101  SPIKE
  Q08345                      0.4739           2.1101  SPIKE
  P22570                      0.4739           2.1101  SPIKE
  O14727                      0.4739           2.1101  SPIKE
  O94759                      0.4739           2.1101  SPIKE
  P32745                      0.4739           2.1101  SPIKE
  P25054                      0.4739           2.1101  SPIKE
  Q8IYM9                      0.4739           2.1101  SPIKE
  Q658P3                      0.4739           2.1101  SPIKE
  P55212                      0.4739           2.1101  SPIKE
  O43663                      0.4739           2.1101  SPIKE
  Q75NE6                      0.4739           2.1101  SPIKE
  P05121                      0.4739           2.1101  SPIKE
  P29466                      0.4739           2.1101  SPIKE
  P14210                      0.4739           2.1101  SPIKE
  Q8IUQ4                      0.4739           2.1101  SPIKE
  P05787                      0.4739           2.1101  SPIKE
  Q9BUZ4                      0.4739           2.1101  SPIKE
  Q969H0                      0.4739           2.1101  SPIKE
  Q92597                      0.4739           2.1101  SPIKE
  O75569                      0.4739           2.1101  SPIKE
  P78543                      0.4739           2.1101  SPIKE
  O00220                      0.4739           2.1101  SPIKE
  Q7Z419                      0.4739           2.1101  SPIKE
  P67775                      0.4739           2.1101  SPIKE
  Q99445                      0.4739           2.1101  SPIKE
  P29317                      0.4739           2.1101  SPIKE
  P13611                      0.4739           2.1101  SPIKE
  P58005                      0.4739           2.1101  SPIKE
  P58004                      0.4739           2.1101  SPIKE
  Q6STE5                      0.4739           2.1101  SPIKE
  O60238                      0.4739           2.1101  SPIKE
  Q9NYY3                      0.4739           2.1101  SPIKE
  Q99988                      0.4739           2.1101  SPIKE
  Q9NRM7                      0.4739           2.1101  SPIKE
  O75626                      0.4739           2.1101  SPIKE
  Q9HB75                      0.4739           2.1101  SPIKE
  P20023                      0.4739           2.1101  SPIKE
  Q9UBN6                      0.4739           2.1101  SPIKE
  Q96FX8                      0.4739           2.1101  SPIKE
  O60880                      0.4739           2.1101  SPIKE
  P30307                      0.4739           2.1101  SPIKE
  Q9NYZ3                      0.4739           2.1101  SPIKE
  P55209                      0.4739           2.1101  SPIKE
  P57723                      0.4739           2.1101  SPIKE
  O14798                      0.4739           2.1101  SPIKE
  O15547                      0.4739           2.1101  SPIKE
  Q16690                      0.4739           2.1101  SPIKE
  Q86U86                      0.4739           2.1101  SPIKE
  O15460                      0.4739           2.1101  SPIKE
  O75909                      0.4739           2.1101  SPIKE
  Q5JR12                      0.4739           2.1101  SPIKE
  Q8TAQ2                      0.4739           2.1101  SPIKE
  Q08257                      0.4739           2.1101  SPIKE
  Q92696                      0.4739           2.1101  SPIKE
  P23297                      0.4482           2.2311  MI:0071 (molecular sieving)
  Q6SJ96                      0.4309           2.3208  KEGG binding/association
  Q96PM9                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  P49407                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  O95758                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  P10809                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  O60936                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  P05412                      0.4139           2.4161  MI:0006 (anti bait coimmunoprecipitation)
  Q9UKG1                      0.4082           2.4495  MI:0018 (two hybrid)|MI:0397 (two hybrid array)
  P46108                      0.4082           2.4495  MI:0018 (two hybrid)|MI:0397 (two hybrid array)
  Q96CJ1                      0.4047           2.4710  MI:1356 (validated two hybrid)|MI:2215 (barcode fusion genetics two hybrid)
  Q13118                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9Y697                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  O60344                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9H1Z8                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q13309                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q92523                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q86XX4                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  P18858                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  P10912                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9H213                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9UN72                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  P02808                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  P41587                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9NZ32                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9H741                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q7KZI7                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q9ULH7                      0.4010           2.4937  MI:0225 (chromatin immunoprecipitation array)
  Q8NDX5                      0.3900           2.5644  MI:0676 (tandem affinity purification)
  O00206                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9BXR5                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q13200                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9H6S0                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9H6Z9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8N163                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q16401                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9NZC9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P62191                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q92934                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9NP81                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q587J7                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P98161                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9H1Z9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P16662                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9Y2C9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q53H96                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P14635                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8N3R9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q00653                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O60603                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O60602                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P46379                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q16595                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O15379                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q5T9A4                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q13472                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q00978                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q13077                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q96RR1                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8TEW0                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P27348                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P62993                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9BRJ7                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8NBJ5                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q14686                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q6ZW49                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9UJ04                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q6VAB6                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P19784                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q7Z5L9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q15843                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q96RU2                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q99684                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9Y3P9                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O60568                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8NEZ4                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q01196                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9NTK5                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q96JN8                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q07666                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  P49902                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q13509                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9NVI7                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q8IVT5                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O15355                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q9NR97                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  O75970                      0.3488           2.8669  MI:0007 (anti tag coimmunoprecipitation)
  Q02447                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P68366                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q7Z392                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q96N67                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q13887                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9HCE7                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O15105                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62753                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62750                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P84074                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q5VV17                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q3YEC7                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P15735                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O75190                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P02545                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9Y676                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O94952                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62879                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q53ET0                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P05387                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P82933                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P78347                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P05388                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P54725                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P52272                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O60477                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O60573                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q15365                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9H444                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O60343                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P61626                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9Y520                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P31943                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P39023                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q08209                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UM54                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P09651                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q02878                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O15519                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8IXM3                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O43837                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9BZG8                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q13724                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9GZQ8                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q96DV4                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P50914                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UII4                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q15170                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8N5Z5                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O60763                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62899                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62263                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62269                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O60488                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UQL6                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q15542                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9BQA1                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q562R1                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8WZ73                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O94992                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q01844                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q68DV7                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UNX3                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q71U36                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q15326                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q99466                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P31689                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O14654                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P46940                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8IZT6                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9Y399                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P60709                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P49918                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P49915                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q96EY7                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P82663                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P08218                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P61353                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62847                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q6NZ67                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q7KZ85                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8IY67                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O15550                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P15880                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9H8V3                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9Y5Q9                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q96K58                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P62318                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q06587                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P21980                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P24385                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P08069                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UKV8                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8IX12                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UKV0                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O75469                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P55083                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O75460                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q92552                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O94864                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q92481                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P50454                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O00159                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q15392                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P61221                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q14498                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9BYW2                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9UBZ9                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P23258                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q14257                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q12962                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q8N8S7                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P05141                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  O43290                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  Q9Y294                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
  P25705                      0.3111           3.2141  MI:0004 (affinity chromatography technology)
